time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;4;700;7;663;0;654;5;713;1;686;FISH_CATCH;
999;4;701;7;664;0;655;5;713;1;687;FISH_CATCH;
2015;4;702;7;665;0;655;5;714;1;687;FISH_CATCH;
3030;4;703;7;665;0;656;5;715;1;688;FISH_CATCH;
3311;4;703;3;665;0;656;5;715;1;688;PLAYER_SWITCH;
4046;4;704;3;666;0;656;5;716;1;689;FISH_CATCH;
5061;4;704;3;667;0;657;5;717;1;690;FISH_CATCH;
6062;4;705;3;667;0;658;5;717;1;691;FISH_CATCH;
6827;4;705;8;667;0;658;5;717;1;691;PLAYER_SWITCH;
7062;4;706;8;668;0;659;5;718;1;691;FISH_CATCH;
8062;4;707;8;669;0;660;5;719;1;692;FISH_CATCH;
9077;4;707;8;670;0;660;5;720;1;692;FISH_CATCH;
9358;4;707;8;670;9;660;5;720;1;692;PLAYER_SWITCH;
10077;4;708;8;671;9;660;5;721;1;692;FISH_CATCH;
11093;4;709;8;672;9;661;5;722;1;692;FISH_CATCH;
12093;4;710;8;672;9;662;5;722;1;693;FISH_CATCH;
13108;4;711;8;673;9;663;5;722;1;694;FISH_CATCH;
14108;4;712;8;674;9;664;5;722;1;694;FISH_CATCH;
15114;4;712;8;674;9;664;5;723;1;694;FISH_CATCH;
16114;4;712;8;675;9;665;5;723;1;695;FISH_CATCH;
17129;4;712;8;676;9;666;5;724;1;695;FISH_CATCH;
18129;4;712;8;676;9;667;5;725;1;696;FISH_CATCH;
19129;4;713;8;677;9;668;5;726;1;697;FISH_CATCH;
20145;4;714;8;677;9;669;5;726;1;698;FISH_CATCH;
21160;4;715;8;678;9;669;5;727;1;699;FISH_CATCH;
22160;4;716;8;679;9;669;5;728;1;699;FISH_CATCH;
23176;4;716;8;680;9;670;5;728;1;699;FISH_CATCH;
24192;4;717;8;681;9;671;5;729;1;700;FISH_CATCH;
25192;4;718;8;681;9;672;5;729;1;701;FISH_CATCH;
26192;4;718;8;682;9;673;5;730;1;701;FISH_CATCH;
27207;4;719;8;682;9;673;5;731;1;702;FISH_CATCH;
28223;4;720;8;683;9;673;5;731;1;703;FISH_CATCH;
29239;4;721;8;683;9;673;5;731;1;704;FISH_CATCH;
30254;4;722;8;684;9;673;5;732;1;705;FISH_CATCH;
31254;4;723;8;685;9;673;5;732;1;706;FISH_CATCH;
32254;4;724;8;685;9;674;5;732;1;707;FISH_CATCH;
33270;4;725;8;685;9;675;5;733;1;708;FISH_CATCH;
34285;4;725;8;685;9;675;5;733;1;708;FISH_CATCH;
35285;4;726;8;686;9;675;5;733;1;709;FISH_CATCH;
36286;4;727;8;687;9;676;5;733;1;710;FISH_CATCH;
37301;4;727;8;688;9;677;5;733;1;711;FISH_CATCH;
38301;4;728;8;689;9;677;5;733;1;712;FISH_CATCH;
39317;4;729;8;689;9;678;5;734;1;713;FISH_CATCH;
40317;4;729;8;690;9;678;5;734;1;714;FISH_CATCH;
41333;4;730;8;691;9;678;5;735;1;715;FISH_CATCH;
42348;4;731;8;692;9;679;5;736;1;716;FISH_CATCH;
43364;4;732;8;693;9;680;5;736;1;717;FISH_CATCH;
44364;4;733;8;694;9;681;5;736;1;717;FISH_CATCH;
45379;4;734;8;694;9;682;5;736;1;718;FISH_CATCH;
46379;4;734;8;695;9;682;5;736;1;719;FISH_CATCH;
47395;4;735;8;696;9;683;5;737;1;720;FISH_CATCH;
47536;4;735;8;696;9;683;3;737;1;720;PLAYER_SWITCH;
48395;4;736;8;697;9;683;3;738;1;721;FISH_CATCH;
48926;4;736;2;697;9;683;3;738;1;721;PLAYER_SWITCH;
49395;4;736;2;698;9;684;3;739;1;722;FISH_CATCH;
50395;4;736;2;699;9;684;3;739;1;723;FISH_CATCH;
51036;4;736;2;699;0;684;3;739;1;723;PLAYER_SWITCH;
51395;4;737;2;700;0;685;3;740;1;724;FISH_CATCH;
52395;4;738;2;701;0;686;3;740;1;724;FISH_CATCH;
53411;4;739;2;702;0;687;3;741;1;725;FISH_CATCH;
54426;4;740;2;702;0;688;3;741;1;725;FISH_CATCH;
55442;4;741;2;703;0;689;3;742;1;725;FISH_CATCH;
56442;4;741;2;704;0;689;3;743;1;725;FISH_CATCH;
57458;4;742;2;705;0;689;3;743;1;726;FISH_CATCH;
58466;4;743;2;706;0;690;3;744;1;726;FISH_CATCH;
59482;4;743;2;706;0;691;3;745;1;727;FISH_CATCH;
60498;4;744;2;706;0;691;3;745;1;728;FISH_CATCH;
61498;4;744;2;706;0;692;3;745;1;728;FISH_CATCH;
62513;4;744;2;707;0;693;3;746;1;729;FISH_CATCH;
63529;4;745;2;707;0;693;3;746;1;730;FISH_CATCH;
64544;4;746;2;708;0;693;3;747;1;730;FISH_CATCH;
65560;4;747;2;709;0;694;3;747;1;731;FISH_CATCH;
66576;4;747;2;709;0;694;3;748;1;732;FISH_CATCH;
67576;4;748;2;710;0;695;3;749;1;733;FISH_CATCH;
67779;4;748;6;710;0;695;3;749;1;733;PLAYER_SWITCH;
68576;4;748;6;710;0;696;3;750;1;734;FISH_CATCH;
69577;4;749;6;711;0;697;3;751;1;735;FISH_CATCH;
70592;4;750;6;712;0;698;3;752;1;736;FISH_CATCH;
71608;4;751;6;712;0;699;3;753;1;737;FISH_CATCH;
72608;4;752;6;712;0;699;3;754;1;738;FISH_CATCH;
72967;4;752;2;712;0;699;3;754;1;738;PLAYER_SWITCH;
73623;4;753;2;713;0;700;3;754;1;738;FISH_CATCH;
74623;4;753;2;713;0;701;3;755;1;739;FISH_CATCH;
75623;4;754;2;714;0;702;3;756;1;740;FISH_CATCH;
76623;4;755;2;715;0;703;3;757;1;740;FISH_CATCH;
77623;4;756;2;715;0;703;3;758;1;741;FISH_CATCH;
78639;4;756;2;716;0;704;3;759;1;742;FISH_CATCH;
79655;4;757;2;717;0;705;3;760;1;742;FISH_CATCH;
80655;4;758;2;718;0;706;3;761;1;743;FISH_CATCH;
81655;4;758;2;719;0;707;3;762;1;743;FISH_CATCH;
82670;4;759;2;720;0;707;3;762;1;744;FISH_CATCH;
83670;4;760;2;721;0;708;3;763;1;745;FISH_CATCH;
84686;4;761;2;722;0;709;3;764;1;745;FISH_CATCH;
85686;4;762;2;723;0;710;3;765;1;746;FISH_CATCH;
86702;4;762;2;724;0;711;3;766;1;746;FISH_CATCH;
87717;4;763;2;725;0;712;3;767;1;747;FISH_CATCH;
88717;4;764;2;726;0;712;3;768;1;748;FISH_CATCH;
89733;4;765;2;727;0;713;3;768;1;749;FISH_CATCH;
90748;4;766;2;728;0;713;3;768;1;749;FISH_CATCH;
91764;4;766;2;729;0;714;3;769;1;750;FISH_CATCH;
92780;4;766;2;730;0;715;3;769;1;750;FISH_CATCH;
93795;4;766;2;731;0;716;3;770;1;750;FISH_CATCH;
94795;4;767;2;732;0;717;3;771;1;751;FISH_CATCH;
95811;4;767;2;733;0;717;3;772;1;752;FISH_CATCH;
96811;4;767;2;733;0;717;3;772;1;753;FISH_CATCH;
97826;4;768;2;733;0;718;3;773;1;754;FISH_CATCH;
98827;4;768;2;734;0;719;3;774;1;754;FISH_CATCH;
99827;4;768;2;735;0;720;3;774;1;755;FISH_CATCH;
100827;4;769;2;736;0;721;3;774;1;756;FISH_CATCH;
101842;4;770;2;737;0;721;3;775;1;756;FISH_CATCH;
102842;4;771;2;738;0;722;3;775;1;757;FISH_CATCH;
103858;4;772;2;738;0;723;3;775;1;758;FISH_CATCH;
104858;4;773;2;739;0;724;3;775;1;758;FISH_CATCH;
105045;4;773;2;739;0;724;3;775;1;758;ROUND_END;
