time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;9;773;5;790;4;754;7;770;3;781;FISH_CATCH;
1000;9;774;5;790;4;754;7;770;3;781;FISH_CATCH;
2000;9;775;5;790;4;754;7;770;3;781;FISH_CATCH;
2437;9;775;5;790;4;754;7;770;6;781;PLAYER_SWITCH;
3000;9;776;5;791;4;754;7;770;6;781;FISH_CATCH;
3343;9;776;1;791;4;754;7;770;6;781;PLAYER_SWITCH;
3453;9;776;1;791;5;754;7;770;6;781;PLAYER_SWITCH;
4015;9;777;1;792;5;754;7;770;6;781;FISH_CATCH;
5031;9;778;1;792;5;755;7;770;6;782;FISH_CATCH;
6031;9;779;1;792;5;755;7;770;6;782;FISH_CATCH;
7031;9;779;1;792;5;755;7;770;6;783;FISH_CATCH;
8046;9;780;1;792;5;755;7;771;6;783;FISH_CATCH;
8106;9;780;8;792;5;755;7;771;6;783;PLAYER_SWITCH;
9062;9;780;8;792;5;755;7;771;6;783;FISH_CATCH;
9703;9;780;8;792;5;755;0;771;6;783;PLAYER_SWITCH;
10062;9;780;8;792;5;756;0;771;6;784;FISH_CATCH;
10749;4;780;8;792;5;756;0;771;6;784;PLAYER_SWITCH;
11078;4;781;8;792;5;756;0;771;6;785;FISH_CATCH;
12093;4;782;8;793;5;757;0;771;6;786;FISH_CATCH;
13093;4;782;8;793;5;757;0;772;6;787;FISH_CATCH;
14109;4;783;8;793;5;757;0;772;6;788;FISH_CATCH;
15109;4;784;8;793;5;758;0;772;6;789;FISH_CATCH;
16125;4;785;8;794;5;759;0;773;6;789;FISH_CATCH;
17125;4;786;8;795;5;760;0;774;6;790;FISH_CATCH;
18140;4;787;8;795;5;761;0;774;6;791;FISH_CATCH;
19140;4;788;8;795;5;761;0;774;6;792;FISH_CATCH;
20156;4;788;8;795;5;762;0;774;6;793;FISH_CATCH;
21171;4;789;8;796;5;762;0;774;6;793;FISH_CATCH;
22171;4;789;8;796;5;762;0;775;6;794;FISH_CATCH;
