time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;0;464;4;443;5;465;7;456;2;438;FISH_CATCH;
999;0;464;4;443;5;466;7;456;2;438;FISH_CATCH;
2015;0;464;4;444;5;467;7;457;2;438;FISH_CATCH;
3030;0;465;4;444;5;467;7;457;2;439;FISH_CATCH;
4030;0;465;4;444;5;468;7;457;2;440;FISH_CATCH;
4718;0;465;4;444;2;468;7;457;2;440;PLAYER_SWITCH;
5046;0;466;4;444;2;468;7;458;2;440;FISH_CATCH;
6046;0;466;4;445;2;468;7;459;2;440;FISH_CATCH;
6584;7;466;4;445;2;468;7;459;2;440;PLAYER_SWITCH;
7053;7;466;4;445;2;468;7;460;2;440;FISH_CATCH;
7069;7;466;5;445;2;468;7;460;2;440;PLAYER_SWITCH;
7209;7;466;5;445;8;468;7;460;2;440;PLAYER_SWITCH;
7241;7;466;5;445;8;468;7;460;9;440;PLAYER_SWITCH;
8069;7;467;5;445;8;468;7;460;9;441;FISH_CATCH;
9069;7;468;5;445;8;469;7;460;9;441;FISH_CATCH;
10069;7;468;5;445;8;470;7;460;9;441;FISH_CATCH;
11069;7;469;5;446;8;470;7;461;9;441;FISH_CATCH;
11756;7;469;5;446;8;470;7;461;1;441;PLAYER_SWITCH;
12084;7;469;5;447;8;471;7;462;1;441;FISH_CATCH;
13084;7;469;5;448;8;472;7;462;1;441;FISH_CATCH;
14006;7;469;5;448;8;472;1;462;1;441;PLAYER_SWITCH;
14084;7;470;5;449;8;472;1;462;1;441;FISH_CATCH;
15100;7;471;5;449;8;472;1;462;1;442;FISH_CATCH;
16100;7;471;5;449;8;472;1;463;1;443;FISH_CATCH;
17116;7;472;5;450;8;472;1;463;1;443;FISH_CATCH;
18116;7;472;5;450;8;472;1;463;1;444;FISH_CATCH;
19131;7;472;5;451;8;473;1;464;1;444;FISH_CATCH;
20131;7;472;5;451;8;474;1;465;1;444;FISH_CATCH;
21147;7;472;5;451;8;474;1;465;1;444;FISH_CATCH;
22163;7;473;5;451;8;475;1;466;1;444;FISH_CATCH;
22858;7;473;5;451;8;475;1;466;5;444;PLAYER_SWITCH;
23170;7;473;5;452;8;476;1;466;5;445;FISH_CATCH;
24186;7;473;5;453;8;476;1;466;5;446;FISH_CATCH;
25186;7;474;5;453;8;476;1;466;5;447;FISH_CATCH;
25733;7;474;5;453;8;476;6;466;5;447;PLAYER_SWITCH;
26202;7;475;5;454;8;476;6;466;5;447;FISH_CATCH;
27202;7;475;5;454;8;476;6;467;5;447;FISH_CATCH;
28202;7;475;5;455;8;476;6;467;5;447;FISH_CATCH;
29202;7;475;5;455;8;476;6;468;5;447;FISH_CATCH;
30202;7;476;5;456;8;476;6;469;5;448;FISH_CATCH;
30796;7;476;5;456;4;476;6;469;5;448;PLAYER_SWITCH;
31217;7;476;5;456;4;476;6;470;5;449;FISH_CATCH;
32233;7;477;5;456;4;476;6;471;5;449;FISH_CATCH;
33233;7;477;5;456;4;477;6;471;5;450;FISH_CATCH;
34249;7;478;5;456;4;477;6;471;5;451;FISH_CATCH;
35264;7;479;5;457;4;478;6;472;5;452;FISH_CATCH;
36280;7;479;5;458;4;479;6;473;5;452;FISH_CATCH;
37296;7;480;5;459;4;480;6;474;5;452;FISH_CATCH;
38301;7;480;5;460;4;480;6;474;5;452;FISH_CATCH;
39301;7;481;5;460;4;480;6;475;5;453;FISH_CATCH;
40317;7;482;5;461;4;481;6;475;5;454;FISH_CATCH;
41317;7;482;5;462;4;481;6;475;5;454;FISH_CATCH;
42317;7;482;5;462;4;482;6;475;5;454;FISH_CATCH;
43321;7;482;5;462;4;482;6;475;5;454;FISH_CATCH;
44321;7;483;5;462;4;482;6;475;5;454;FISH_CATCH;
45321;7;484;5;462;4;482;6;476;5;454;FISH_CATCH;
46062;7;484;5;462;4;482;6;476;4;454;PLAYER_SWITCH;
46328;7;485;5;463;4;482;6;476;4;455;FISH_CATCH;
47328;7;486;5;463;4;482;6;477;4;456;FISH_CATCH;
48343;7;487;5;463;4;482;6;477;4;456;FISH_CATCH;
49343;7;487;5;463;4;482;6;477;4;456;FISH_CATCH;
50343;7;487;5;464;4;482;6;477;4;456;FISH_CATCH;
51343;7;487;5;465;4;482;6;478;4;457;FISH_CATCH;
52359;7;487;5;466;4;483;6;478;4;457;FISH_CATCH;
53359;7;487;5;466;4;483;6;479;4;458;FISH_CATCH;
54359;7;487;5;467;4;483;6;480;4;458;FISH_CATCH;
55375;7;488;5;467;4;483;6;481;4;458;FISH_CATCH;
56375;7;489;5;468;4;484;6;482;4;458;FISH_CATCH;
57385;7;489;5;468;4;485;6;483;4;459;FISH_CATCH;
58400;7;489;5;469;4;485;6;484;4;459;FISH_CATCH;
59416;7;490;5;470;4;486;6;484;4;459;FISH_CATCH;
60432;7;491;5;470;4;487;6;485;4;459;FISH_CATCH;
61135;7;491;5;470;4;487;6;485;7;459;PLAYER_SWITCH;
