time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;1;264;2;286;3;265;8;275;5;271;FISH_CATCH;
0;7;264;2;286;3;265;8;275;5;271;PLAYER_SWITCH;
999;7;265;2;287;3;266;8;276;5;272;FISH_CATCH;
1999;7;265;2;288;3;267;8;277;5;273;FISH_CATCH;
3015;7;266;2;289;3;268;8;278;5;274;FISH_CATCH;
4015;7;267;2;290;3;269;8;279;5;275;FISH_CATCH;
5015;7;268;2;291;3;270;8;280;5;276;FISH_CATCH;
6015;7;269;2;292;3;271;8;281;5;277;FISH_CATCH;
7015;7;269;2;293;3;272;8;282;5;278;FISH_CATCH;
8030;7;270;2;294;3;273;8;283;5;279;FISH_CATCH;
9031;7;271;2;295;3;274;8;284;5;280;FISH_CATCH;
10047;7;272;2;296;3;275;8;285;5;281;FISH_CATCH;
11047;7;273;2;297;3;276;8;286;5;282;FISH_CATCH;
12047;7;274;2;298;3;277;8;287;5;283;FISH_CATCH;
13063;7;275;2;299;3;278;8;288;5;284;FISH_CATCH;
14078;7;276;2;300;3;279;8;289;5;285;FISH_CATCH;
15094;7;277;2;301;3;280;8;290;5;286;FISH_CATCH;
16094;7;278;2;302;3;281;8;291;5;287;FISH_CATCH;
17110;7;279;2;303;3;282;8;292;5;288;FISH_CATCH;
18110;7;280;2;304;3;283;8;292;5;288;FISH_CATCH;
19110;7;281;2;305;3;284;8;293;5;289;FISH_CATCH;
20125;7;282;2;305;3;285;8;294;5;290;FISH_CATCH;
20860;7;282;9;305;3;285;8;294;5;290;PLAYER_SWITCH;
21125;7;283;9;306;3;286;8;295;5;290;FISH_CATCH;
22125;7;284;9;307;3;287;8;296;5;290;FISH_CATCH;
23125;7;285;9;308;3;288;8;297;5;291;FISH_CATCH;
24125;7;286;9;309;3;289;8;298;5;292;FISH_CATCH;
25141;7;287;9;309;3;289;8;299;5;293;FISH_CATCH;
26156;7;288;9;310;3;290;8;299;5;294;FISH_CATCH;
27156;7;288;9;311;3;291;8;300;5;295;FISH_CATCH;
28160;7;288;9;312;3;292;8;301;5;296;FISH_CATCH;
29176;7;288;9;313;3;293;8;302;5;297;FISH_CATCH;
30192;7;289;9;314;3;294;8;302;5;298;FISH_CATCH;
31207;7;290;9;314;3;295;8;303;5;299;FISH_CATCH;
32207;7;291;9;315;3;296;8;304;5;299;FISH_CATCH;
33209;7;292;9;316;3;297;8;305;5;300;FISH_CATCH;
34225;7;293;9;317;3;298;8;306;5;300;FISH_CATCH;
35225;7;294;9;318;3;299;8;306;5;301;FISH_CATCH;
36229;7;295;9;319;3;300;8;307;5;302;FISH_CATCH;
37245;7;296;9;320;3;301;8;308;5;303;FISH_CATCH;
37635;7;296;9;320;6;301;8;308;5;303;PLAYER_SWITCH;
38260;7;297;9;321;6;302;8;309;5;304;FISH_CATCH;
39260;7;298;9;322;6;303;8;310;5;305;FISH_CATCH;
40276;7;299;9;322;6;304;8;311;5;306;FISH_CATCH;
41291;7;300;9;323;6;305;8;311;5;307;FISH_CATCH;
42292;7;301;9;324;6;306;8;312;5;308;FISH_CATCH;
43307;7;302;9;324;6;307;8;313;5;308;FISH_CATCH;
44307;7;303;9;325;6;308;8;314;5;308;FISH_CATCH;
45307;7;303;9;325;6;308;8;315;5;309;FISH_CATCH;
46307;7;304;9;326;6;309;8;316;5;310;FISH_CATCH;
