"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.25;0.5;FALSE;FALSE;105;FALSE
2;0.855;0.9;FALSE;FALSE;75;FALSE
3;0.7;0.35;FALSE;FALSE;75;FALSE
4;0.4;0.5;FALSE;FALSE;105;FALSE
5;0.585;0.9;TRUE;FALSE;105;FALSE
6;0.7;0.455;TRUE;FALSE;75;FALSE
7;0.855;0.9;TRUE;FALSE;75;FALSE
8;0.5;0.325;TRUE;FALSE;90;FALSE
9;0.7;0.35;NA;FALSE;105;TRUE
10;0.45;0.9;NA;FALSE;75;TRUE
11;0.9;0.72;NA;FALSE;105;TRUE
12;0.9;0.855;NA;FALSE;90;TRUE
13;0.5;0.475;FALSE;FALSE;90;FALSE
14;0.665;0.7;FALSE;FALSE;105;FALSE
15;0.45;0.9;FALSE;FALSE;90;FALSE
16;0.56;0.7;FALSE;FALSE;75;FALSE
17;0.4;0.5;TRUE;FALSE;105;FALSE
18;0.7;0.35;TRUE;FALSE;90;FALSE
19;0.475;0.5;TRUE;FALSE;90;FALSE
20;0.7;0.56;TRUE;FALSE;90;FALSE
21;0.4;0.5;NA;FALSE;75;TRUE
22;0.585;0.9;NA;FALSE;105;TRUE
23;0.7;0.56;NA;FALSE;90;TRUE
24;0.5;0.325;NA;FALSE;75;TRUE
25;0.72;0.9;FALSE;FALSE;90;FALSE
26;0.7;0.455;FALSE;FALSE;75;FALSE
27;0.5;0.325;FALSE;FALSE;105;FALSE
28;0.9;0.585;FALSE;FALSE;90;FALSE
29;0.9;0.45;TRUE;FALSE;105;FALSE
30;0.25;0.5;TRUE;FALSE;75;FALSE
31;0.7;0.665;TRUE;FALSE;105;FALSE
32;0.9;0.72;TRUE;FALSE;75;FALSE
33;0.5;0.475;NA;FALSE;105;TRUE
34;0.455;0.7;NA;FALSE;90;TRUE
35;0.7;0.665;NA;FALSE;75;TRUE
36;0.5;0.25;NA;FALSE;90;TRUE
