"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.35;0.7;NA;FALSE;90;TRUE
2;0.5;0.475;NA;FALSE;105;TRUE
3;0.585;0.9;NA;FALSE;75;TRUE
4;0.9;0.855;NA;FALSE;90;TRUE
5;0.475;0.5;TRUE;FALSE;75;FALSE
6;0.7;0.35;TRUE;FALSE;75;FALSE
7;0.9;0.585;TRUE;FALSE;90;FALSE
8;0.5;0.325;TRUE;FALSE;105;FALSE
9;0.25;0.5;FALSE;FALSE;105;FALSE
10;0.325;0.5;FALSE;FALSE;75;FALSE
11;0.455;0.7;FALSE;FALSE;90;FALSE
12;0.9;0.72;FALSE;FALSE;90;FALSE
13;0.25;0.5;NA;FALSE;105;TRUE
14;0.56;0.7;NA;FALSE;90;TRUE
15;0.7;0.665;NA;FALSE;75;TRUE
16;0.9;0.45;NA;FALSE;75;TRUE
17;0.4;0.5;TRUE;FALSE;105;FALSE
18;0.9;0.45;TRUE;FALSE;105;FALSE
19;0.5;0.25;TRUE;FALSE;90;FALSE
20;0.9;0.855;TRUE;FALSE;105;FALSE
21;0.7;0.56;FALSE;FALSE;75;FALSE
22;0.5;0.4;FALSE;FALSE;105;FALSE
23;0.475;0.5;FALSE;FALSE;105;FALSE
24;0.585;0.9;FALSE;FALSE;105;FALSE
25;0.455;0.7;NA;FALSE;105;TRUE
26;0.72;0.9;NA;FALSE;75;TRUE
27;0.4;0.5;NA;FALSE;105;TRUE
28;0.325;0.5;NA;FALSE;90;TRUE
29;0.7;0.665;TRUE;FALSE;90;FALSE
30;0.455;0.7;TRUE;FALSE;75;FALSE
31;0.72;0.9;TRUE;FALSE;75;FALSE
32;0.56;0.7;TRUE;FALSE;90;FALSE
33;0.9;0.855;FALSE;FALSE;90;FALSE
34;0.7;0.35;FALSE;FALSE;75;FALSE
35;0.7;0.665;FALSE;FALSE;75;FALSE
36;0.9;0.45;FALSE;FALSE;90;FALSE
