"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.72;0.9;NA;FALSE;90;TRUE
2;0.35;0.7;NA;FALSE;90;TRUE
3;0.585;0.9;NA;FALSE;75;TRUE
4;0.7;0.455;NA;FALSE;105;TRUE
5;0.5;0.475;TRUE;FALSE;105;FALSE
6;0.5;0.25;TRUE;FALSE;90;FALSE
7;0.9;0.585;TRUE;FALSE;105;FALSE
8;0.665;0.7;TRUE;FALSE;90;FALSE
9;0.5;0.25;FALSE;FALSE;90;FALSE
10;0.325;0.5;FALSE;FALSE;105;FALSE
11;0.5;0.475;FALSE;FALSE;90;FALSE
12;0.7;0.665;FALSE;FALSE;105;FALSE
13;0.7;0.665;NA;FALSE;105;TRUE
14;0.5;0.475;NA;FALSE;90;TRUE
15;0.9;0.45;NA;FALSE;75;TRUE
16;0.5;0.25;NA;FALSE;105;TRUE
17;0.35;0.7;TRUE;FALSE;105;FALSE
18;0.455;0.7;TRUE;FALSE;75;FALSE
19;0.7;0.56;TRUE;FALSE;75;FALSE
20;0.9;0.45;TRUE;FALSE;75;FALSE
21;0.855;0.9;FALSE;FALSE;75;FALSE
22;0.7;0.455;FALSE;FALSE;90;FALSE
23;0.56;0.7;FALSE;FALSE;75;FALSE
24;0.35;0.7;FALSE;FALSE;105;FALSE
25;0.5;0.325;NA;FALSE;90;TRUE
26;0.5;0.4;NA;FALSE;105;TRUE
27;0.855;0.9;NA;FALSE;75;TRUE
28;0.7;0.56;NA;FALSE;75;TRUE
29;0.72;0.9;TRUE;FALSE;90;FALSE
30;0.855;0.9;TRUE;FALSE;75;FALSE
31;0.5;0.325;TRUE;FALSE;90;FALSE
32;0.4;0.5;TRUE;FALSE;105;FALSE
33;0.585;0.9;FALSE;FALSE;75;FALSE
34;0.9;0.45;FALSE;FALSE;75;FALSE
35;0.4;0.5;FALSE;FALSE;105;FALSE
36;0.9;0.72;FALSE;FALSE;90;FALSE
