"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.5;0.475;NA;FALSE;75;TRUE
2;0.9;0.585;NA;FALSE;105;TRUE
3;0.9;0.72;NA;FALSE;105;TRUE
4;0.7;0.56;NA;FALSE;75;TRUE
5;0.665;0.7;FALSE;FALSE;105;FALSE
6;0.25;0.5;FALSE;FALSE;90;FALSE
7;0.9;0.72;FALSE;FALSE;90;FALSE
8;0.56;0.7;FALSE;FALSE;75;FALSE
9;0.7;0.665;TRUE;FALSE;75;FALSE
10;0.7;0.35;TRUE;FALSE;105;FALSE
11;0.475;0.5;TRUE;FALSE;105;FALSE
12;0.5;0.4;TRUE;FALSE;105;FALSE
13;0.5;0.25;NA;FALSE;90;TRUE
14;0.45;0.9;NA;FALSE;105;TRUE
15;0.325;0.5;NA;FALSE;75;TRUE
16;0.7;0.35;NA;FALSE;75;TRUE
17;0.9;0.45;FALSE;FALSE;75;FALSE
18;0.5;0.325;FALSE;FALSE;90;FALSE
19;0.5;0.475;FALSE;FALSE;75;FALSE
20;0.9;0.585;FALSE;FALSE;75;FALSE
21;0.45;0.9;TRUE;FALSE;75;FALSE
22;0.9;0.585;TRUE;FALSE;90;FALSE
23;0.7;0.56;TRUE;FALSE;90;FALSE
24;0.9;0.855;TRUE;FALSE;90;FALSE
25;0.455;0.7;NA;FALSE;90;TRUE
26;0.4;0.5;NA;FALSE;90;TRUE
27;0.9;0.855;NA;FALSE;105;TRUE
28;0.665;0.7;NA;FALSE;90;TRUE
29;0.9;0.855;FALSE;FALSE;90;FALSE
30;0.7;0.35;FALSE;FALSE;105;FALSE
31;0.4;0.5;FALSE;FALSE;105;FALSE
32;0.455;0.7;FALSE;FALSE;105;FALSE
33;0.9;0.72;TRUE;FALSE;75;FALSE
34;0.455;0.7;TRUE;FALSE;75;FALSE
35;0.325;0.5;TRUE;FALSE;105;FALSE
36;0.25;0.5;TRUE;FALSE;90;FALSE
