"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.7;0.35;FALSE;FALSE;90;FALSE
2;0.72;0.9;FALSE;FALSE;75;FALSE
3;0.45;0.9;FALSE;FALSE;105;FALSE
4;0.5;0.325;FALSE;FALSE;105;FALSE
5;0.7;0.56;NA;FALSE;90;TRUE
6;0.72;0.9;NA;FALSE;75;TRUE
7;0.9;0.585;NA;FALSE;105;TRUE
8;0.35;0.7;NA;FALSE;90;TRUE
9;0.455;0.7;TRUE;FALSE;90;FALSE
10;0.9;0.585;TRUE;FALSE;105;FALSE
11;0.5;0.325;TRUE;FALSE;75;FALSE
12;0.5;0.25;TRUE;FALSE;105;FALSE
13;0.5;0.475;FALSE;FALSE;105;FALSE
14;0.5;0.4;FALSE;FALSE;90;FALSE
15;0.7;0.455;FALSE;FALSE;90;FALSE
16;0.5;0.25;FALSE;FALSE;75;FALSE
17;0.475;0.5;NA;FALSE;105;TRUE
18;0.25;0.5;NA;FALSE;75;TRUE
19;0.7;0.455;NA;FALSE;75;TRUE
20;0.45;0.9;NA;FALSE;105;TRUE
21;0.9;0.855;TRUE;FALSE;75;FALSE
22;0.5;0.475;TRUE;FALSE;105;FALSE
23;0.72;0.9;TRUE;FALSE;75;FALSE
24;0.7;0.56;TRUE;FALSE;105;FALSE
25;0.855;0.9;FALSE;FALSE;90;FALSE
26;0.665;0.7;FALSE;FALSE;75;FALSE
27;0.9;0.585;FALSE;FALSE;75;FALSE
28;0.56;0.7;FALSE;FALSE;105;FALSE
29;0.4;0.5;NA;FALSE;105;TRUE
30;0.855;0.9;NA;FALSE;90;TRUE
31;0.5;0.325;NA;FALSE;90;TRUE
32;0.7;0.665;NA;FALSE;75;TRUE
33;0.45;0.9;TRUE;FALSE;90;FALSE
34;0.4;0.5;TRUE;FALSE;90;FALSE
35;0.7;0.35;TRUE;FALSE;75;FALSE
36;0.665;0.7;TRUE;FALSE;90;FALSE
