"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.25;0.5;TRUE;FALSE;105;FALSE
2;0.475;0.5;TRUE;FALSE;75;FALSE
3;0.35;0.7;TRUE;FALSE;75;FALSE
4;0.4;0.5;TRUE;FALSE;105;FALSE
5;0.5;0.475;NA;FALSE;75;TRUE
6;0.7;0.35;NA;FALSE;75;TRUE
7;0.5;0.25;NA;FALSE;90;TRUE
8;0.455;0.7;NA;FALSE;90;TRUE
9;0.5;0.4;FALSE;FALSE;75;FALSE
10;0.9;0.45;FALSE;FALSE;90;FALSE
11;0.585;0.9;FALSE;FALSE;75;FALSE
12;0.455;0.7;FALSE;FALSE;90;FALSE
13;0.7;0.455;TRUE;FALSE;105;FALSE
14;0.855;0.9;TRUE;FALSE;105;FALSE
15;0.9;0.45;TRUE;FALSE;90;FALSE
16;0.9;0.585;TRUE;FALSE;90;FALSE
17;0.7;0.56;NA;FALSE;105;TRUE
18;0.4;0.5;NA;FALSE;90;TRUE
19;0.7;0.665;NA;FALSE;90;TRUE
20;0.5;0.325;NA;FALSE;105;TRUE
21;0.56;0.7;FALSE;FALSE;105;FALSE
22;0.325;0.5;FALSE;FALSE;105;FALSE
23;0.9;0.72;FALSE;FALSE;90;FALSE
24;0.5;0.25;FALSE;FALSE;105;FALSE
25;0.665;0.7;TRUE;FALSE;90;FALSE
26;0.5;0.325;TRUE;FALSE;75;FALSE
27;0.7;0.56;TRUE;FALSE;90;FALSE
28;0.72;0.9;TRUE;FALSE;75;FALSE
29;0.9;0.72;NA;FALSE;75;TRUE
30;0.9;0.45;NA;FALSE;105;TRUE
31;0.9;0.855;NA;FALSE;105;TRUE
32;0.585;0.9;NA;FALSE;75;TRUE
33;0.9;0.855;FALSE;FALSE;90;FALSE
34;0.35;0.7;FALSE;FALSE;75;FALSE
35;0.7;0.665;FALSE;FALSE;75;FALSE
36;0.5;0.475;FALSE;FALSE;105;FALSE
