"trialNr";"leftPondChance";"rightPondChance";"catchesObserved";"competitionEnabled";"duration";"isSolo"
1;0.5;0.25;FALSE;FALSE;90;FALSE
2;0.45;0.9;FALSE;FALSE;105;FALSE
3;0.585;0.9;FALSE;FALSE;90;FALSE
4;0.665;0.7;FALSE;FALSE;90;FALSE
5;0.7;0.455;TRUE;FALSE;90;FALSE
6;0.9;0.855;TRUE;FALSE;105;FALSE
7;0.4;0.5;TRUE;FALSE;75;FALSE
8;0.585;0.9;TRUE;FALSE;105;FALSE
9;0.7;0.56;NA;FALSE;75;TRUE
10;0.5;0.325;NA;FALSE;90;TRUE
11;0.475;0.5;NA;FALSE;90;TRUE
12;0.45;0.9;NA;FALSE;90;TRUE
13;0.9;0.72;FALSE;FALSE;75;FALSE
14;0.325;0.5;FALSE;FALSE;105;FALSE
15;0.5;0.4;FALSE;FALSE;105;FALSE
16;0.5;0.475;FALSE;FALSE;75;FALSE
17;0.5;0.25;TRUE;FALSE;105;FALSE
18;0.72;0.9;TRUE;FALSE;105;FALSE
19;0.45;0.9;TRUE;FALSE;75;FALSE
20;0.665;0.7;TRUE;FALSE;90;FALSE
21;0.585;0.9;NA;FALSE;105;TRUE
22;0.7;0.665;NA;FALSE;75;TRUE
23;0.25;0.5;NA;FALSE;75;TRUE
24;0.9;0.855;NA;FALSE;105;TRUE
25;0.35;0.7;FALSE;FALSE;75;FALSE
26;0.9;0.855;FALSE;FALSE;105;FALSE
27;0.7;0.455;FALSE;FALSE;75;FALSE
28;0.7;0.56;FALSE;FALSE;90;FALSE
29;0.7;0.56;TRUE;FALSE;90;FALSE
30;0.325;0.5;TRUE;FALSE;75;FALSE
31;0.35;0.7;TRUE;FALSE;90;FALSE
32;0.475;0.5;TRUE;FALSE;75;FALSE
33;0.7;0.35;NA;FALSE;105;TRUE
34;0.5;0.4;NA;FALSE;90;TRUE
35;0.9;0.72;NA;FALSE;105;TRUE
36;0.7;0.455;NA;FALSE;75;TRUE
