time;players.1.FishingPosition;players.1.score;players.2.FishingPosition;players.2.score;players.3.FishingPosition;players.3.score;players.4.FishingPosition;players.4.score;players.5.FishingPosition;players.5.score;event_type;
0;9;621;5;592;0;632;4;622;3;634;FISH_CATCH;
1000;9;622;5;593;0;632;4;622;3;634;FISH_CATCH;
2015;9;622;5;593;0;632;4;622;3;634;FISH_CATCH;
2800;2;622;5;593;0;632;4;622;3;634;PLAYER_SWITCH;
3019;2;623;5;594;0;632;4;622;3;634;FISH_CATCH;
4019;2;623;5;595;0;633;4;622;3;635;FISH_CATCH;
5029;2;623;5;596;0;634;4;622;3;635;FISH_CATCH;
6045;2;623;5;597;0;635;4;622;3;635;FISH_CATCH;
7060;2;624;5;598;0;636;4;622;3;635;FISH_CATCH;
7154;2;624;5;598;0;636;9;622;3;635;PLAYER_SWITCH;
8076;2;625;5;599;0;636;9;623;3;635;FISH_CATCH;
8154;7;625;5;599;0;636;9;623;3;635;PLAYER_SWITCH;
9091;7;626;5;600;0;637;9;623;3;635;FISH_CATCH;
9998;7;626;5;600;0;637;9;623;8;635;PLAYER_SWITCH;
10107;7;627;5;601;0;638;9;624;8;636;FISH_CATCH;
11107;7;628;5;602;0;638;9;625;8;637;FISH_CATCH;
12123;7;629;5;603;0;638;9;626;8;637;FISH_CATCH;
13123;7;629;5;604;0;638;9;627;8;637;FISH_CATCH;
14123;7;629;5;605;0;638;9;627;8;638;FISH_CATCH;
14279;7;629;5;605;6;638;9;627;8;638;PLAYER_SWITCH;
15123;7;630;5;606;6;639;9;628;8;638;FISH_CATCH;
16127;7;631;5;607;6;640;9;628;8;639;FISH_CATCH;
17127;7;632;5;608;6;641;9;629;8;640;FISH_CATCH;
18142;7;632;5;608;6;642;9;629;8;640;FISH_CATCH;
19142;7;632;5;609;6;642;9;630;8;640;FISH_CATCH;
19377;7;632;3;609;6;642;9;630;8;640;PLAYER_SWITCH;
20142;7;633;3;609;6;642;9;631;8;640;FISH_CATCH;
21158;7;634;3;609;6;643;9;632;8;640;FISH_CATCH;
22158;7;635;3;609;6;644;9;632;8;641;FISH_CATCH;
23174;7;636;3;610;6;645;9;633;8;642;FISH_CATCH;
24189;7;637;3;611;6;646;9;634;8;643;FISH_CATCH;
25189;7;637;3;611;6;647;9;635;8;644;FISH_CATCH;
26198;7;638;3;611;6;648;9;636;8;645;FISH_CATCH;
27198;7;639;3;611;6;649;9;636;8;646;FISH_CATCH;
28214;7;640;3;612;6;650;9;637;8;646;FISH_CATCH;
29220;7;640;3;612;6;651;9;638;8;647;FISH_CATCH;
30220;7;640;3;613;6;651;9;638;8;648;FISH_CATCH;
31236;7;640;3;614;6;652;9;638;8;648;FISH_CATCH;
32252;7;641;3;615;6;653;9;639;8;648;FISH_CATCH;
33267;7;642;3;616;6;654;9;640;8;649;FISH_CATCH;
34283;7;643;3;617;6;654;9;640;8;650;FISH_CATCH;
35283;7;644;3;617;6;655;9;641;8;651;FISH_CATCH;
36298;7;644;3;617;6;656;9;642;8;651;FISH_CATCH;
36720;4;644;3;617;6;656;9;642;8;651;PLAYER_SWITCH;
37314;4;644;3;617;6;657;9;643;8;652;FISH_CATCH;
38330;4;644;3;617;6;658;9;643;8;653;FISH_CATCH;
38970;4;644;5;617;6;658;9;643;8;653;PLAYER_SWITCH;
39330;4;645;5;618;6;659;9;644;8;654;FISH_CATCH;
40345;4;645;5;619;6;660;9;645;8;654;FISH_CATCH;
